filiere_bac,note_maths,note_sciences,note_physique,note_langues,note_philo,interet_principal,niveau,orientation
Economie,8.5,11.0,9.6,17.0,12.4,Littérature,Université,Langues
PC,13.2,17.3,16.9,13.3,12.6,Sciences,Lycée,Médecine
Economie,10.6,8.4,10.0,15.7,18.4,Histoire,Lycée,Droit
SVT,14.2,17.2,16.7,11.4,11.6,Santé,Lycée,Médecine
Economie,8.9,10.1,8.8,16.7,13.8,Littérature,Université,Langues
Economie,7.3,14.0,9.0,14.2,15.9,Santé,Université,Psychologie
PC,17.9,14.5,13.2,10.0,12.1,Technologie,Lycée,Informatique
Economie,9.6,10.5,7.1,17.1,15.1,Voyage,Lycée,Langues
Lettres,7.1,9.9,9.6,18.1,13.1,Littérature,Lycée,Langues
Lettres,9.0,8.6,9.2,16.9,12.4,Littérature,Lycée,Langues
PC,16.7,16.7,15.8,12.3,13.6,Sciences,Lycée,Médecine
Economie,8.9,13.4,7.6,13.2,15.7,Sciences humaines,Lycée,Psychologie
SVT,7.8,14.6,10.6,12.8,17.3,Santé,Lycée,Psychologie
SVT,13.7,12.3,14.3,12.1,14.3,Design,Lycée,Architecture
STM,12.5,12.2,13.0,13.4,13.4,Art,Université,Architecture
STM,14.4,12.7,15.3,11.0,9.1,Construction,Université,Ingénierie
PC,14.9,17.3,16.0,12.7,11.1,Biologie,Lycée,Médecine
Economie,7.5,9.7,9.7,17.4,12.8,Culture,Université,Langues
STM,13.5,10.3,14.4,13.2,10.9,Construction,Université,Architecture
STM,16.2,12.9,18.3,11.1,9.6,Construction,Université,Ingénierie
PC,13.6,9.6,10.5,13.9,12.9,Business,Lycée,Commerce
PC,11.2,10.2,15.5,14.1,11.9,Art,Université,Architecture
Economie,11.9,7.9,9.7,14.6,11.8,Business,Lycée,Commerce
SVT,10.4,9.6,7.8,18.5,13.5,Culture,Lycée,Langues
Economie,8.7,12.2,7.1,12.7,15.6,Sciences humaines,Université,Psychologie
Economie,9.7,8.8,8.1,16.4,14.7,Littérature,Lycée,Langues
PC,15.0,19.0,16.2,13.0,10.6,Biologie,Université,Médecine
PC,13.5,9.2,13.5,17.5,12.2,Business,Lycée,Commerce
PC,11.1,11.4,9.9,13.5,12.8,Marketing,Lycée,Commerce
Economie,12.5,12.0,17.4,9.6,9.9,Mécanique,Lycée,Ingénierie
STM,12.4,12.5,14.7,13.4,11.7,Design,Lycée,Architecture
Lettres,7.4,7.4,8.8,18.0,13.5,Voyage,Lycée,Langues
PC,14.6,16.6,15.3,11.9,10.4,Biologie,Université,Médecine
PC,9.5,10.2,10.5,14.3,12.5,Business,Lycée,Commerce
PC,17.2,13.6,14.8,12.3,10.9,Technologie,Lycée,Ingénierie
STM,18.5,10.8,14.2,10.8,10.8,Programmation,Lycée,Informatique
PC,14.9,13.8,16.6,9.0,10.2,Technologie,Lycée,Ingénierie
Lettres,11.9,12.1,6.9,13.8,14.2,Finance,Lycée,Commerce
PC,15.2,17.2,16.5,13.2,10.9,Sciences,Université,Médecine
SVT,11.7,9.7,7.3,15.4,16.2,Histoire,Lycée,Droit
Lettres,9.2,12.9,8.4,14.2,15.6,Philosophie,Lycée,Psychologie
PC,13.7,18.2,16.3,11.6,13.9,Santé,Lycée,Médecine
Lettres,9.5,8.7,8.6,15.9,17.7,Design,Lycée,Droit
SVT,7.7,9.0,7.3,15.6,16.9,Justice,Université,Droit
PC,10.7,12.5,11.3,15.7,12.5,Finance,Lycée,Commerce
Economie,10.9,9.2,6.5,15.2,14.1,Finance,Université,Commerce
SVT,8.4,13.4,8.1,12.3,14.9,Santé,Université,Psychologie
PC,14.8,10.7,16.4,10.5,10.1,Construction,Lycée,Ingénierie
SVT,18.0,13.6,13.9,13.5,10.8,Jeux vidéo,Lycée,Informatique
PC,11.1,12.2,11.5,12.1,12.8,Construction,Université,Architecture
SVT,13.9,14.3,16.1,12.8,10.3,Santé,Université,Médecine
PC,16.3,13.6,14.7,9.7,10.2,Technologie,Lycée,Informatique
SVT,16.7,13.6,14.4,10.1,10.3,Programmation,Université,Informatique
SVT,8.6,11.7,10.4,13.4,15.6,Sciences humaines,Université,Psychologie
Lettres,12.5,8.1,10.7,16.2,13.0,Business,Lycée,Commerce
PC,14.6,18.4,15.8,12.6,11.9,Santé,Lycée,Médecine
PC,12.7,12.0,11.7,12.0,13.8,Art,Université,Architecture
Economie,10.4,8.6,10.6,13.3,9.0,Business,Université,Commerce
SVT,13.8,11.8,14.2,12.1,11.9,Sciences humaines,Université,Architecture
SVT,9.9,13.8,10.7,14.0,17.5,Sciences humaines,Lycée,Psychologie
SVT,13.2,9.9,13.6,11.9,9.9,Design,Université,Architecture
Lettres,9.8,11.3,8.7,15.8,17.7,Histoire,Université,Droit
Economie,9.3,8.4,9.6,16.7,17.2,Histoire,Université,Droit
PC,14.2,10.6,14.7,13.4,10.4,Marketing,Lycée,Architecture
SVT,13.4,17.4,16.3,13.9,13.6,Biologie,Lycée,Médecine
Lettres,9.4,7.1,7.9,19.8,13.3,Littérature,Lycée,Langues
Economie,11.4,7.8,14.9,10.1,13.7,Art,Université,Architecture
Economie,12.6,9.2,6.8,14.1,11.9,Finance,Université,Commerce
SVT,10.2,12.5,9.9,14.2,16.1,Sciences humaines,Université,Psychologie
Lettres,8.0,14.4,9.9,14.4,16.5,Philosophie,Université,Psychologie
SVT,9.0,9.3,10.0,15.3,16.3,Politique,Lycée,Droit
PC,16.0,13.0,15.4,9.4,9.2,Technologie,Lycée,Ingénierie
PC,13.8,16.3,16.7,12.1,11.0,Biologie,Lycée,Médecine
Economie,9.8,7.8,8.0,16.7,13.0,Culture,Université,Langues
PC,15.4,17.0,16.5,10.7,10.4,Sciences,Université,Médecine
PC,16.8,13.0,14.1,8.3,10.0,Technologie,Lycée,Informatique
PC,14.4,12.5,14.8,12.4,12.1,Design,Université,Architecture
Lettres,11.4,9.3,9.4,14.4,12.0,Marketing,Lycée,Commerce
PC,12.5,10.4,14.0,10.5,10.2,Art,Lycée,Architecture
PC,10.7,10.9,9.7,15.6,11.2,Business,Université,Commerce
STM,16.9,14.9,16.5,12.1,10.1,Technologie,Lycée,Ingénierie
SVT,11.5,10.6,11.8,10.0,14.2,Biologie,Lycée,Architecture
PC,12.8,9.7,10.1,14.6,12.1,Finance,Université,Commerce
STM,15.3,14.3,13.3,9.2,10.8,Design,Université,Architecture
STM,17.7,12.2,13.3,9.3,10.4,Jeux vidéo,Lycée,Informatique
SVT,12.9,14.4,12.7,14.9,12.3,Construction,Lycée,Architecture
PC,16.5,12.4,14.1,8.5,8.1,Jeux vidéo,Lycée,Informatique
Economie,10.3,10.4,8.4,12.2,18.6,Justice,Lycée,Droit
Lettres,8.8,13.5,10.7,13.4,16.5,Philosophie,Université,Psychologie
Lettres,8.7,8.9,8.7,18.3,14.5,Voyage,Université,Langues
PC,15.2,16.8,16.6,12.7,11.8,Sciences,Lycée,Médecine
Economie,9.2,12.5,9.6,11.5,16.4,Philosophie,Lycée,Psychologie
SVT,9.6,11.1,9.3,18.1,12.7,Voyage,Université,Langues
PC,15.9,17.6,16.3,10.6,11.7,Santé,Université,Médecine
PC,14.3,18.1,16.6,12.4,11.2,Santé,Université,Médecine
PC,16.1,17.6,15.7,13.0,9.2,Design,Lycée,Médecine
Economie,11.5,10.7,8.7,14.1,11.5,Marketing,Université,Commerce
Economie,9.3,9.8,9.7,14.8,16.2,Politique,Lycée,Droit
PC,12.8,15.9,14.0,12.7,11.6,Sciences,Lycée,Médecine
SVT,15.8,18.6,17.1,12.8,12.5,Santé,Université,Médecine
SVT,17.0,13.3,13.5,11.2,8.7,Programmation,Université,Informatique
PC,16.7,13.1,14.7,8.8,10.8,Mécanique,Université,Ingénierie
SVT,16.4,13.9,15.0,10.9,10.9,Jeux vidéo,Lycée,Informatique
STM,15.9,15.3,16.5,10.8,8.9,Construction,Université,Ingénierie
SVT,10.5,17.6,14.3,11.7,10.0,Biologie,Lycée,Médecine
Economie,11.5,9.4,6.1,14.3,12.9,Business,Université,Commerce
PC,15.5,14.7,16.7,9.5,9.5,Construction,Université,Ingénierie
STM,13.8,11.6,12.1,11.7,12.4,Sciences,Université,Architecture
PC,10.0,8.3,9.3,18.7,12.5,Littérature,Université,Langues
PC,15.7,16.9,17.0,13.2,14.4,Sciences,Université,Médecine
Economie,11.3,9.4,9.5,14.2,13.6,Finance,Lycée,Commerce
PC,15.7,18.3,14.3,14.4,10.3,Biologie,Lycée,Médecine
SVT,16.8,17.0,14.3,12.7,10.8,Sciences,Lycée,Médecine
SVT,13.7,11.0,15.2,10.9,8.2,Construction,Université,Architecture
SVT,7.4,11.8,8.5,12.6,14.8,Sciences humaines,Université,Psychologie
STM,14.4,11.8,13.1,12.3,12.4,Art,Lycée,Architecture
SVT,14.1,17.6,16.4,13.2,9.9,Santé,Lycée,Médecine
SVT,15.1,16.8,18.1,12.0,11.9,Santé,Lycée,Médecine
STM,16.4,12.4,13.9,11.1,13.9,Construction,Lycée,Architecture
STM,13.6,13.3,11.7,12.2,10.9,Construction,Université,Architecture
Economie,12.8,8.8,9.1,13.9,12.4,Finance,Lycée,Commerce
SVT,13.1,19.6,15.9,12.9,10.3,Biologie,Lycée,Médecine
SVT,17.5,14.5,16.8,10.3,10.6,Mécanique,Lycée,Ingénierie
SVT,14.4,18.3,18.0,10.8,12.1,Biologie,Lycée,Médecine
Economie,9.6,9.3,8.9,17.7,14.0,Littérature,Lycée,Langues
SVT,14.0,16.8,15.5,14.1,12.2,Technologie,Université,Médecine
Economie,10.4,12.5,10.1,13.6,14.4,Sciences humaines,Lycée,Psychologie
Economie,12.7,10.8,11.9,16.1,12.7,Marketing,Université,Commerce
PC,14.1,13.8,18.0,11.2,10.0,Technologie,Lycée,Ingénierie
SVT,16.6,14.7,16.6,12.0,9.6,Technologie,Lycée,Ingénierie
Economie,14.7,9.7,13.0,11.7,11.0,Design,Université,Architecture
Lettres,11.8,17.1,17.4,13.6,12.8,Sciences,Université,Médecine
SVT,8.2,7.0,9.6,17.1,14.0,Voyage,Lycée,Langues
PC,13.1,8.3,7.3,14.8,12.8,Marketing,Lycée,Commerce
Economie,10.2,8.6,7.8,18.3,15.1,Voyage,Lycée,Langues
SVT,11.7,8.6,11.1,13.7,11.9,Business,Lycée,Commerce
STM,15.0,13.5,18.2,10.6,10.3,Mécanique,Université,Ingénierie
SVT,14.7,10.6,14.8,11.7,11.2,Design,Lycée,Architecture
SVT,9.2,8.5,8.6,18.4,12.5,Culture,Lycée,Langues
SVT,9.0,12.1,10.2,13.8,16.2,Santé,Lycée,Psychologie
PC,14.3,12.5,14.5,13.5,10.5,Art,Lycée,Architecture
SVT,17.2,12.3,12.3,11.8,11.1,Programmation,Lycée,Informatique
Economie,8.0,12.8,8.8,11.8,14.3,Philosophie,Lycée,Psychologie
Lettres,9.8,11.3,9.7,14.2,16.9,Justice,Lycée,Droit
STM,17.0,14.5,16.8,10.2,9.7,Programmation,Lycée,Informatique
SVT,13.0,15.4,14.1,16.0,10.6,Biologie,Lycée,Médecine
PC,12.8,8.9,8.0,14.4,13.8,Marketing,Lycée,Commerce
PC,17.1,12.9,16.2,13.7,12.1,Construction,Université,Architecture
Economie,10.2,12.8,10.9,13.1,15.6,Sciences humaines,Lycée,Psychologie
Economie,7.2,9.0,8.4,17.5,13.8,Littérature,Lycée,Langues
PC,14.4,12.2,17.8,9.9,11.5,Mécanique,Lycée,Ingénierie
SVT,13.9,17.4,14.5,12.5,11.5,Biologie,Lycée,Médecine
SVT,7.6,10.0,9.6,17.7,13.2,Littérature,Lycée,Langues
SVT,11.1,8.8,8.8,17.0,16.5,Politique,Lycée,Droit
Lettres,9.6,9.3,6.4,16.6,13.8,Santé,Lycée,Langues
PC,14.4,15.5,14.9,13.7,13.7,Sciences,Lycée,Médecine
Lettres,8.2,7.9,8.5,16.8,14.6,Jeux vidéo,Université,Langues
Lettres,12.6,10.7,10.4,13.7,13.4,Finance,Lycée,Commerce
PC,9.2,10.5,8.2,12.8,12.6,Business,Lycée,Commerce
SVT,14.7,13.1,16.6,11.9,10.5,Technologie,Lycée,Ingénierie
PC,12.6,10.0,9.6,15.3,14.4,Finance,Lycée,Commerce
SVT,14.1,18.0,17.3,13.7,8.7,Sciences,Lycée,Médecine
PC,14.7,12.2,16.1,12.6,9.4,Mécanique,Université,Ingénierie
PC,13.7,13.7,12.1,11.5,11.5,Design,Université,Architecture
SVT,9.8,7.1,8.2,15.2,17.0,Histoire,Lycée,Droit
Economie,7.5,12.8,11.3,13.1,16.1,Sciences humaines,Université,Psychologie
SVT,17.8,13.1,13.4,10.9,7.7,Programmation,Lycée,Informatique
Lettres,12.8,8.8,8.8,15.0,13.8,Finance,Université,Commerce
PC,15.4,14.2,16.6,12.0,11.6,Construction,Lycée,Ingénierie
SVT,7.2,13.4,10.9,14.2,16.6,Sciences humaines,Lycée,Psychologie
Lettres,8.9,8.2,8.0,17.0,15.2,Littérature,Lycée,Langues
STM,15.1,14.4,17.0,12.7,8.4,Construction,Université,Ingénierie
PC,13.9,16.2,14.6,14.0,9.3,Biologie,Lycée,Médecine
SVT,7.9,12.6,10.6,13.6,14.5,Santé,Université,Psychologie
STM,19.1,15.2,14.3,10.8,10.5,Jeux vidéo,Lycée,Informatique
Lettres,9.4,8.3,9.4,14.8,16.5,Justice,Université,Droit
Lettres,8.5,8.8,10.8,15.2,14.8,Histoire,Lycée,Droit
Economie,7.7,6.6,8.5,15.6,16.8,Histoire,Lycée,Droit
SVT,12.0,10.7,11.8,11.0,10.3,Design,Université,Architecture
STM,13.3,11.6,16.9,10.9,10.7,Mécanique,Université,Ingénierie
Economie,11.9,10.8,11.2,14.0,11.4,Business,Lycée,Commerce
SVT,10.0,12.9,10.0,13.2,15.5,Santé,Lycée,Psychologie
Economie,9.8,14.9,9.2,11.7,16.6,Sciences humaines,Université,Psychologie
SVT,9.6,12.6,10.3,14.8,16.0,Santé,Université,Psychologie
Lettres,11.9,9.3,7.7,17.1,10.7,Marketing,Lycée,Commerce
Economie,16.8,12.4,13.9,13.6,7.9,Jeux vidéo,Lycée,Informatique
SVT,13.1,16.2,17.1,11.5,9.9,Sciences,Université,Médecine
Economie,8.6,10.8,7.6,15.9,16.6,Histoire,Lycée,Droit
PC,16.1,12.3,14.7,11.4,9.0,Jeux vidéo,Lycée,Informatique
SVT,8.8,9.0,5.8,15.3,17.7,Justice,Université,Droit
Lettres,8.7,8.8,9.6,19.5,12.3,Voyage,Université,Langues
SVT,8.2,12.2,6.1,12.1,16.6,Sciences humaines,Lycée,Psychologie
SVT,18.4,9.8,12.8,11.5,10.0,Technologie,Lycée,Informatique
SVT,9.7,7.9,8.5,16.9,15.2,Littérature,Lycée,Langues
PC,15.1,16.2,16.4,11.1,12.4,Sciences,Université,Médecine
Economie,7.7,13.7,9.0,12.3,16.6,Sciences humaines,Université,Psychologie
PC,13.6,13.7,16.2,11.7,10.3,Construction,Université,Ingénierie
SVT,16.6,12.6,16.7,8.9,9.6,Mécanique,Lycée,Ingénierie
Lettres,13.1,10.2,8.6,12.8,11.7,Marketing,Lycée,Commerce
Economie,9.3,9.8,8.6,15.4,16.6,Politique,Université,Droit
SVT,9.5,13.2,7.7,14.5,16.3,Philosophie,Université,Psychologie
PC,17.7,12.1,17.5,10.4,9.9,Construction,Lycée,Ingénierie
Lettres,8.6,8.2,8.3,16.1,15.2,Littérature,Université,Droit
PC,16.6,15.4,15.2,13.0,10.2,Programmation,Université,Informatique
PC,15.2,12.1,12.6,13.1,12.6,Art,Lycée,Architecture
STM,13.0,11.2,10.7,10.2,10.2,Design,Lycée,Architecture
STM,13.0,12.3,15.1,12.6,11.3,Art,Université,Architecture
STM,12.9,12.5,14.5,10.9,11.3,Design,Lycée,Architecture
SVT,16.2,18.0,14.7,12.9,12.2,Sciences,Université,Médecine
Lettres,9.0,10.5,8.2,15.0,16.1,Politique,Université,Droit
Lettres,12.1,8.4,11.9,16.1,11.1,Finance,Lycée,Commerce
Lettres,10.1,9.0,9.2,14.9,16.9,Justice,Université,Droit
Economie,6.9,14.3,9.6,14.0,16.6,Philosophie,Université,Psychologie
Economie,8.9,13.1,8.7,13.7,15.4,Philosophie,Université,Psychologie
PC,11.5,14.0,14.5,11.4,13.3,Art,Lycée,Architecture
SVT,8.2,12.8,9.0,13.3,15.6,Philosophie,Lycée,Psychologie
STM,14.4,13.5,14.0,10.3,11.2,Justice,Université,Architecture
PC,14.3,16.8,15.2,13.2,10.8,Sciences,Lycée,Médecine
SVT,14.6,13.5,15.8,8.6,10.3,Mécanique,Université,Ingénierie
SVT,13.5,16.3,18.4,12.0,10.3,Sciences,Lycée,Médecine
PC,13.9,13.9,12.7,11.5,11.7,Art,Université,Architecture
Economie,8.5,8.9,8.5,17.2,15.1,Littérature,Lycée,Langues
SVT,14.0,18.1,14.8,11.0,12.2,Sciences,Lycée,Médecine
SVT,17.1,14.5,13.3,10.8,8.8,Technologie,Université,Informatique
Economie,8.8,13.3,8.6,14.4,14.8,Santé,Lycée,Psychologie
Lettres,13.2,10.8,6.6,15.5,12.9,Business,Université,Commerce
Lettres,10.2,14.6,7.7,12.2,15.3,Philosophie,Lycée,Psychologie
PC,15.9,11.4,13.6,11.8,14.1,Design,Université,Architecture
Economie,8.2,13.3,8.7,14.0,14.7,Santé,Université,Psychologie
SVT,17.0,12.1,11.8,12.0,9.8,Technologie,Lycée,Informatique
Economie,8.7,7.6,9.5,17.7,12.4,Littérature,Lycée,Langues
Lettres,9.8,15.9,10.2,15.1,16.0,Philosophie,Lycée,Psychologie
STM,14.8,12.6,17.6,10.8,8.8,Construction,Lycée,Ingénierie
PC,17.8,15.6,16.0,8.1,10.2,Construction,Université,Ingénierie
SVT,14.5,15.1,16.7,9.5,11.6,Mécanique,Université,Ingénierie
Lettres,10.6,10.1,9.6,15.8,10.6,Business,Lycée,Commerce
PC,12.6,9.7,7.7,14.6,15.6,Finance,Université,Commerce
SVT,8.8,12.4,9.2,15.1,14.8,Justice,Université,Droit
PC,13.8,11.6,12.9,13.1,10.8,Art,Lycée,Architecture
PC,15.0,9.9,12.8,12.6,12.5,Construction,Lycée,Architecture
SVT,8.0,7.2,8.3,16.5,17.0,Politique,Lycée,Droit
SVT,14.8,12.8,14.5,12.2,11.4,Design,Lycée,Architecture
SVT,15.6,17.6,17.2,13.3,11.2,Biologie,Lycée,Médecine
Economie,8.2,6.6,7.3,15.6,13.8,Littérature,Université,Langues
SVT,10.6,8.6,9.9,13.9,16.0,Histoire,Université,Droit
PC,12.5,8.2,9.5,15.5,12.1,Marketing,Lycée,Commerce
SVT,14.4,13.3,17.9,10.3,10.0,Technologie,Lycée,Ingénierie
SVT,14.6,10.6,13.3,10.6,14.1,Littérature,Lycée,Architecture
Lettres,7.5,7.9,9.5,16.1,15.0,Technologie,Université,Langues
SVT,7.9,11.3,9.7,15.3,13.2,Culture,Université,Langues
Economie,8.5,10.1,9.2,16.5,17.1,Histoire,Université,Droit
Economie,7.5,9.7,9.8,14.9,17.1,Politique,Université,Droit
PC,16.1,14.3,16.6,9.9,9.0,Mécanique,Lycée,Ingénierie
PC,14.1,15.6,16.1,9.8,9.2,Mécanique,Lycée,Ingénierie
STM,7.2,8.4,8.6,19.1,12.3,Littérature,Université,Langues
SVT,9.7,9.5,9.6,15.4,18.3,Histoire,Université,Droit
PC,16.6,13.0,16.2,9.9,12.8,Mécanique,Université,Ingénierie
Economie,11.3,11.1,7.8,16.5,11.8,Business,Lycée,Commerce
Lettres,11.6,14.1,8.8,13.9,17.0,Politique,Lycée,Psychologie
Lettres,7.6,8.2,8.0,19.6,15.2,Technologie,Université,Langues
SVT,13.9,11.9,14.2,10.4,10.9,Design,Lycée,Architecture
Economie,7.5,8.7,8.5,15.4,17.4,Justice,Lycée,Droit
SVT,15.3,18.2,15.3,11.5,12.8,Sciences,Université,Médecine
PC,12.7,10.8,12.2,11.7,12.3,Construction,Université,Architecture
PC,15.4,17.7,18.2,11.6,12.7,Biologie,Université,Médecine
Lettres,9.0,13.3,8.0,13.6,17.1,Sciences humaines,Lycée,Psychologie
PC,16.6,18.1,15.5,11.2,8.4,Sciences,Lycée,Médecine
STM,9.7,9.0,8.4,13.7,16.0,Politique,Lycée,Droit
SVT,16.7,14.0,14.7,10.0,11.3,Programmation,Lycée,Informatique
Lettres,12.2,7.5,10.3,14.1,12.4,Mécanique,Lycée,Commerce
Economie,8.0,11.6,9.7,14.1,15.2,Santé,Université,Psychologie
Lettres,7.5,14.2,9.3,12.1,14.8,Santé,Lycée,Psychologie
SVT,16.5,13.5,13.7,11.4,10.4,Jeux vidéo,Lycée,Informatique
SVT,15.9,13.1,14.3,11.7,12.3,Design,Lycée,Architecture
SVT,8.7,8.0,8.5,16.2,12.2,Voyage,Université,Langues
SVT,16.4,12.5,14.9,12.5,10.8,Jeux vidéo,Université,Informatique
Lettres,12.6,10.3,8.4,15.6,11.9,Business,Université,Commerce
Economie,8.0,14.0,8.2,13.6,15.9,Santé,Université,Psychologie
SVT,8.3,12.4,8.8,12.5,15.8,Philosophie,Lycée,Psychologie
SVT,8.9,15.1,8.0,11.5,16.4,Philosophie,Lycée,Psychologie
SVT,14.8,17.2,15.6,12.2,8.8,Santé,Lycée,Médecine
PC,10.5,9.2,9.5,12.0,12.7,Marketing,Lycée,Commerce
SVT,9.6,11.7,8.8,13.5,16.2,Histoire,Lycée,Droit
Economie,12.6,9.4,10.4,15.9,16.4,Histoire,Université,Droit
SVT,11.4,8.5,9.4,17.4,11.8,Culture,Lycée,Langues
Economie,10.1,9.7,8.6,14.6,16.9,Politique,Université,Droit
SVT,7.2,9.1,8.8,15.7,18.0,Histoire,Lycée,Droit
SVT,9.3,7.1,9.2,14.5,18.3,Biologie,Lycée,Droit
Lettres,8.3,8.2,8.0,17.8,13.9,Culture,Lycée,Langues
PC,18.0,14.3,15.5,12.0,8.2,Jeux vidéo,Lycée,Informatique
Economie,9.1,10.7,8.8,15.1,18.0,Justice,Lycée,Droit
Lettres,7.9,12.0,9.4,12.9,13.8,Sciences humaines,Université,Psychologie
Economie,11.0,11.4,10.0,16.1,11.6,Finance,Lycée,Commerce
Economie,12.0,8.6,6.4,16.0,13.9,Finance,Université,Commerce
STM,18.8,11.7,13.5,12.6,11.4,Technologie,Université,Informatique
PC,15.1,12.0,18.9,9.8,11.2,Politique,Lycée,Ingénierie
Lettres,9.5,6.7,8.7,15.5,17.5,Politique,Université,Droit
PC,13.4,17.4,18.1,11.2,7.9,Biologie,Université,Médecine
Economie,9.8,8.2,9.6,15.5,14.7,Histoire,Université,Droit
SVT,6.7,7.5,8.2,17.6,14.9,Voyage,Lycée,Langues
PC,18.0,13.4,13.8,11.8,9.9,Technologie,Université,Informatique
Lettres,8.1,8.7,10.3,16.8,13.1,Voyage,Lycée,Langues
PC,14.6,15.1,15.1,14.1,12.9,Biologie,Lycée,Médecine
SVT,16.4,15.4,13.8,9.5,11.4,Programmation,Lycée,Informatique
PC,12.4,10.2,8.8,15.3,12.1,Business,Lycée,Commerce
Economie,11.6,8.7,7.6,17.2,13.4,Littérature,Lycée,Langues
SVT,17.8,13.9,15.7,10.7,9.3,Mécanique,Lycée,Ingénierie
SVT,14.6,12.1,16.9,11.2,12.2,Programmation,Université,Ingénierie
PC,16.1,16.1,14.5,13.5,12.2,Biologie,Lycée,Médecine
SVT,16.8,16.2,15.0,11.8,12.2,Santé,Université,Médecine
STM,16.1,12.5,13.2,11.6,11.3,Art,Université,Architecture
PC,13.2,17.0,14.9,11.6,12.2,Biologie,Université,Médecine
SVT,16.5,14.9,16.4,10.8,10.4,Construction,Lycée,Ingénierie
Economie,10.5,12.2,8.2,14.7,14.5,Sciences humaines,Lycée,Psychologie
STM,12.3,11.2,13.2,12.0,12.1,Construction,Lycée,Architecture
Economie,9.6,8.9,8.3,17.3,17.9,Justice,Université,Droit
Economie,13.7,9.3,10.6,17.1,13.3,Business,Lycée,Commerce
SVT,9.4,7.8,8.3,17.6,14.1,Culture,Lycée,Langues
Lettres,9.5,8.6,7.8,17.7,16.6,Culture,Lycée,Langues
Economie,9.5,9.3,9.6,17.0,13.3,Culture,Université,Langues
Economie,10.2,9.2,10.1,16.8,15.1,Voyage,Lycée,Langues
SVT,6.2,8.0,10.0,16.1,14.7,Culture,Université,Langues
SVT,12.7,13.0,15.9,12.7,11.6,Construction,Lycée,Architecture
SVT,9.0,9.7,9.7,17.7,12.7,Littérature,Université,Langues
SVT,15.1,17.4,15.4,12.8,11.0,Biologie,Université,Médecine
SVT,12.9,17.2,16.0,12.2,9.2,Sciences,Université,Médecine
SVT,14.5,12.5,15.2,12.4,11.8,Mécanique,Université,Ingénierie
Economie,7.5,8.6,9.8,14.4,14.5,Justice,Lycée,Droit
Lettres,9.6,8.9,8.6,14.3,18.2,Histoire,Université,Droit
Economie,9.1,8.4,8.9,16.9,15.7,Littérature,Lycée,Langues
PC,18.6,12.9,14.1,11.5,10.5,Jeux vidéo,Université,Informatique
STM,14.7,13.0,13.6,10.9,11.0,Construction,Lycée,Architecture
Lettres,10.3,9.5,8.4,13.3,14.0,Marketing,Lycée,Commerce
SVT,16.9,12.9,12.5,11.4,11.3,Jeux vidéo,Université,Informatique
SVT,10.8,12.7,9.2,14.5,14.5,Sciences humaines,Lycée,Psychologie
Economie,9.5,13.9,7.8,13.6,15.8,Sciences humaines,Université,Psychologie
PC,15.8,16.8,16.5,11.7,12.2,Biologie,Université,Médecine
SVT,10.6,11.5,8.1,15.3,15.4,Sciences humaines,Université,Psychologie
SVT,18.2,13.0,12.6,11.4,10.6,Programmation,Lycée,Informatique
SVT,8.1,7.0,7.9,17.4,11.2,Voyage,Université,Langues
Economie,14.7,8.3,8.8,15.3,11.5,Marketing,Lycée,Commerce
Lettres,10.7,7.4,9.5,14.3,12.7,Business,Université,Commerce
PC,17.5,12.7,15.0,12.2,8.7,Jeux vidéo,Université,Informatique
PC,16.8,14.1,9.4,11.1,11.3,Culture,Lycée,Informatique
PC,17.4,14.5,16.9,10.2,14.2,Technologie,Lycée,Ingénierie
Economie,9.2,7.8,8.5,16.9,17.9,Politique,Lycée,Droit
PC,15.4,12.3,16.7,10.1,8.2,Construction,Lycée,Ingénierie
SVT,18.2,11.9,14.2,10.3,10.3,Programmation,Université,Informatique
SVT,15.6,13.9,18.2,11.3,8.9,Construction,Lycée,Ingénierie
Economie,11.9,8.2,9.4,15.3,10.9,Finance,Lycée,Commerce
Economie,12.4,10.9,9.2,17.7,13.3,Littérature,Lycée,Langues
SVT,17.1,14.3,13.0,10.4,9.8,Jeux vidéo,Université,Informatique
PC,16.5,15.6,14.9,12.3,9.1,Santé,Université,Médecine
SVT,15.8,12.9,14.1,11.8,10.4,Art,Lycée,Architecture
SVT,16.7,17.4,18.7,13.1,8.9,Biologie,Université,Médecine
Lettres,7.8,10.8,10.9,17.4,13.2,Voyage,Lycée,Langues
SVT,15.9,17.1,15.4,12.6,10.2,Sciences,Lycée,Médecine
Economie,8.4,8.8,8.1,15.6,13.8,Voyage,Lycée,Langues
SVT,14.2,11.8,13.9,11.9,11.5,Art,Université,Architecture
Lettres,14.1,12.4,8.8,15.5,13.1,Finance,Lycée,Commerce
STM,16.3,15.4,14.4,9.4,11.2,Technologie,Lycée,Informatique
SVT,15.3,15.1,16.1,10.2,9.2,Mécanique,Lycée,Ingénierie
Economie,12.1,9.5,9.4,14.8,13.8,Business,Lycée,Commerce
STM,14.5,13.4,18.3,10.0,10.3,Mécanique,Université,Ingénierie
SVT,17.9,13.5,15.0,7.3,13.0,Programmation,Lycée,Informatique
STM,15.4,13.3,14.1,10.9,10.9,Mécanique,Université,Ingénierie
PC,14.5,18.2,17.1,15.8,12.2,Sciences,Lycée,Médecine
